!	I-ORG	comentava uma senhora perante	Álvaro Cunhal	I-PER
!	I-ORG	lembra	Soares Franco	I-PER
'	I-PER	assume uma sucessão de	autorias	I-PER
'	I-PER	respondeu	Lopes	I-PER
)	I-ORG	reunido ontem de manhã em	Paris	I-LOC
, Lorca	I-PER	refugia	Rosales	I-PER
, Palma Inácio	I-PER	desvia um avião da	TAP	I-ORG
- - Claro	I-ORG	queríamos fazer	Portugal	I-LOC
- Jomo Kenyatta	I-PER	assumiu a chefia da	União Africana do	I-ORG
- Melo	I-PER	só toma conta da administração do hospital de	Amadora	I-LOC
- Sarajevo	I-LOC	voltara a estar sob	sérvio	I-LOC
- Simon	I-PER	inspirou decisivamente a reviravolta programática de	Chirac	I-PER
- Vasco Lourenço	I-PER	comandavam a	Polícia Militar	I-ORG
- americana Nancy Kerrigan	I-PER	afastar a	Tonya Harding	I-PER
- au - Prince	I-PER	falar com	Cédras	I-PER
. . ) ?	I-PER	interroga	Vieira	I-PER
. . . '	I-ORG	assim descreve	Keaton	I-PER
. . . .	I-PER	oferecem	Marques Mendes	I-PER
. . . . . . . . . . .	I-PER	das	. . . . . . . . . . . . . . . .	I-PER
. francesa Jean Claude Simoën	I-PER	acusa	Picabia	I-PER
17.3.95	I-PER	só abandonando	Soares	I-PER
20th Century Fox	I-ORG	acrescenta	Jodie	I-PER
20th Century Fox	I-ORG	comprar os direitos de	Victória	I-PER
21.12.53	I-LOC	propôr à	Columbia	I-ORG
22.06.94	I-LOC	garantir	Santo	I-LOC
2C	I-ORG	já ter exposto no	Museu	I-ORG
4.10.1952	I-LOC	oferecer a primeira	canadiana	I-LOC
4AD	I-ORG	nas	britânicas	I-LOC
52n Street	I-ORG	onde toca com	Ben Webster	I-PER
72nd West	I-ORG	beira do	Lincoln Center	I-ORG
? . . .	I-PER	correspondeu saída de	sendeiro	I-PER
? . . .	I-PER	escreve	Jorge Barbosa	I-PER
? . . .	I-PER	incluido	Portugal	I-LOC
